sample_id,state_id,verdict,state_quality,state_noise,state_cercis,question_id,majority_correct,model_agreement_count,full_consensus,topic_id,model_0_correct,model_1_correct,model_2_correct,consensus_score
0,3,noisy,0.20073163583408216,1.1777424268256658,0.31850587851664874,0,1,1,0,0,0,0,1,0.26703248458370776
1,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,1,1,2,0,1,1,1,0,0.4068508936982919
2,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,2,0,2,0,2,0,0,1,0.4532929336795741
3,0,ambiguous,0.0,0.0,0.0,3,1,3,1,3,1,1,1,0.5
4,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,4,1,2,0,4,1,1,0,0.5246924713522022
5,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,5,1,2,0,5,1,1,0,0.4068508936982919
6,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,6,1,2,0,6,0,1,1,0.475271132379957
7,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,7,1,2,0,7,0,1,1,0.475271132379957
8,4,ambiguous,0.23598668297417635,1.7718691502114015,0.4131735979953165,8,1,1,0,0,0,1,0,0.2846600081537548
9,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,9,1,2,0,1,1,1,0,0.4068508936982919
10,0,ambiguous,0.0,0.0,0.0,10,1,3,1,2,1,1,1,0.5
11,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,11,1,2,0,3,1,0,1,0.5246924713522022
12,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,12,1,2,0,4,1,0,1,0.5246924713522022
13,3,noisy,0.20073163583408216,1.1777424268256658,0.31850587851664874,13,1,1,0,5,0,0,1,0.26703248458370776
14,3,noisy,0.20073163583408216,1.1777424268256658,0.31850587851664874,14,1,1,0,6,0,0,1,0.26703248458370776
15,7,ambiguous,0.0,0.0,0.0,15,0,3,1,7,0,0,0,0.5
16,7,ambiguous,0.0,0.0,0.0,16,1,3,1,0,1,1,1,0.5
17,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,17,0,2,0,1,1,0,0,0.4068508936982919
18,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,18,1,2,0,2,1,0,1,0.4532929336795741
19,0,ambiguous,0.0,0.0,0.0,19,1,3,1,3,1,1,1,0.5
20,3,noisy,0.20073163583408216,1.1777424268256658,0.31850587851664874,20,1,1,0,4,1,0,0,0.26703248458370776
21,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,21,1,2,0,5,1,0,1,0.4532929336795741
22,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,22,1,2,0,6,1,1,0,0.4068508936982919
23,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,23,1,2,0,7,1,1,0,0.4068508936982919
24,7,ambiguous,0.0,0.0,0.0,24,1,3,1,0,1,1,1,0.5
25,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,25,0,2,0,1,0,0,1,0.475271132379957
26,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,26,1,2,0,2,0,1,1,0.475271132379957
27,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,27,1,2,0,3,1,0,1,0.5246924713522022
28,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,28,0,2,0,4,0,1,0,0.475271132379957
29,3,noisy,0.20073163583408216,1.1777424268256658,0.31850587851664874,29,1,1,0,5,0,1,0,0.26703248458370776
30,0,ambiguous,0.0,0.0,0.0,30,1,3,1,6,1,1,1,0.5
31,0,ambiguous,0.0,0.0,0.0,31,1,3,1,7,1,1,1,0.5
32,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,32,1,2,0,0,0,1,1,0.4068508936982919
33,7,ambiguous,0.0,0.0,0.0,33,1,3,1,1,1,1,1,0.5
34,0,ambiguous,0.0,0.0,0.0,34,1,3,1,2,1,1,1,0.5
35,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,35,1,2,0,3,1,1,0,0.5246924713522022
36,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,36,1,2,0,4,0,1,1,0.475271132379957
37,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,37,1,2,0,5,0,1,1,0.4532929336795741
38,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,38,1,2,0,6,0,1,1,0.475271132379957
39,4,ambiguous,0.23598668297417635,1.7718691502114015,0.4131735979953165,39,1,1,0,7,0,1,0,0.2846600081537548
40,3,noisy,0.20073163583408216,1.1777424268256658,0.31850587851664874,40,1,1,0,0,1,0,0,0.26703248458370776
41,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,41,1,2,0,1,1,0,1,0.4532929336795741
42,0,ambiguous,0.0,0.0,0.0,42,1,3,1,2,1,1,1,0.5
43,3,noisy,0.20073163583408216,1.1777424268256658,0.31850587851664874,43,1,1,0,3,1,0,0,0.26703248458370776
44,0,ambiguous,0.0,0.0,0.0,44,1,3,1,4,1,1,1,0.5
45,4,ambiguous,0.23598668297417635,1.7718691502114015,0.4131735979953165,45,1,1,0,5,1,0,0,0.2846600081537548
46,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,46,1,2,0,6,1,1,0,0.4068508936982919
47,4,ambiguous,0.23598668297417635,1.7718691502114015,0.4131735979953165,47,1,1,0,7,0,1,0,0.2846600081537548
48,4,ambiguous,0.23598668297417635,1.7718691502114015,0.4131735979953165,48,1,1,0,0,0,1,0,0.2846600081537548
49,7,ambiguous,0.0,0.0,0.0,49,1,3,1,1,1,1,1,0.5
50,0,ambiguous,0.0,0.0,0.0,50,1,3,1,2,1,1,1,0.5
51,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,51,0,2,0,3,1,0,0,0.5246924713522022
52,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,52,1,2,0,4,1,0,1,0.5246924713522022
53,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,53,1,2,0,5,1,1,0,0.4068508936982919
54,0,ambiguous,0.0,0.0,0.0,54,1,3,1,6,1,1,1,0.5
55,0,ambiguous,0.0,0.0,0.0,55,1,3,1,7,1,1,1,0.5
56,4,ambiguous,0.23598668297417635,1.7718691502114015,0.4131735979953165,56,1,1,0,0,0,1,0,0.2846600081537548
57,4,ambiguous,0.23598668297417635,1.7718691502114015,0.4131735979953165,57,1,1,0,1,1,0,0,0.2846600081537548
58,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,58,1,2,0,2,1,1,0,0.4068508936982919
59,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,59,1,2,0,3,1,1,0,0.5246924713522022
60,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,60,1,2,0,4,1,1,0,0.5246924713522022
61,3,noisy,0.20073163583408216,1.1777424268256658,0.31850587851664874,61,1,1,0,5,0,0,1,0.26703248458370776
62,0,ambiguous,0.0,0.0,0.0,62,1,3,1,6,1,1,1,0.5
63,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,63,1,2,0,7,0,1,1,0.475271132379957
64,4,ambiguous,0.23598668297417635,1.7718691502114015,0.4131735979953165,64,1,1,0,0,0,1,0,0.2846600081537548
65,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,65,0,2,0,1,1,0,0,0.4532929336795741
66,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,66,1,2,0,2,0,1,1,0.475271132379957
67,0,ambiguous,0.0,0.0,0.0,67,1,3,1,3,1,1,1,0.5
68,0,ambiguous,0.0,0.0,0.0,68,1,3,1,4,1,1,1,0.5
69,4,ambiguous,0.23598668297417635,1.7718691502114015,0.4131735979953165,69,1,1,0,5,1,0,0,0.2846600081537548
70,3,noisy,0.20073163583408216,1.1777424268256658,0.31850587851664874,70,1,1,0,6,0,0,1,0.26703248458370776
71,7,ambiguous,0.0,0.0,0.0,71,1,3,1,7,1,1,1,0.5
72,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,72,1,2,0,0,1,0,1,0.4532929336795741
73,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,73,1,2,0,1,1,1,0,0.4068508936982919
74,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,74,1,2,0,2,1,0,1,0.4532929336795741
75,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,75,1,2,0,3,1,0,1,0.5246924713522022
76,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,76,1,2,0,4,1,0,1,0.5246924713522022
77,7,ambiguous,0.0,0.0,0.0,77,1,3,1,5,1,1,1,0.5
78,0,ambiguous,0.0,0.0,0.0,78,1,3,1,6,1,1,1,0.5
79,0,ambiguous,0.0,0.0,0.0,79,1,3,1,7,1,1,1,0.5
80,7,ambiguous,0.0,0.0,0.0,80,1,3,1,0,1,1,1,0.5
81,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,81,1,2,0,1,1,0,1,0.4532929336795741
82,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,82,1,2,0,2,1,1,0,0.4068508936982919
83,4,ambiguous,0.23598668297417635,1.7718691502114015,0.4131735979953165,83,1,1,0,3,0,1,0,0.2846600081537548
84,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,84,0,2,0,4,0,1,0,0.475271132379957
85,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,85,1,2,0,5,0,1,1,0.4532929336795741
86,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,86,0,2,0,6,1,0,0,0.4068508936982919
87,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,87,1,2,0,7,0,1,1,0.475271132379957
88,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,88,0,2,0,0,0,1,0,0.475271132379957
89,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,89,0,2,0,1,0,0,1,0.4532929336795741
90,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,90,1,2,0,2,1,0,1,0.4532929336795741
91,0,ambiguous,0.0,0.0,0.0,91,1,3,1,3,1,1,1,0.5
92,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,92,1,2,0,4,1,0,1,0.5246924713522022
93,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,93,1,2,0,5,0,1,1,0.4532929336795741
94,0,ambiguous,0.0,0.0,0.0,94,1,3,1,6,1,1,1,0.5
95,0,ambiguous,0.0,0.0,0.0,95,1,3,1,7,1,1,1,0.5
96,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,96,1,2,0,0,1,1,0,0.475271132379957
97,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,97,1,2,0,1,1,1,0,0.5246924713522022
98,0,ambiguous,0.0,0.0,0.0,98,1,3,1,2,1,1,1,0.5
99,4,ambiguous,0.23598668297417635,1.7718691502114015,0.4131735979953165,99,1,1,0,3,0,1,0,0.2846600081537548
100,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,100,1,2,0,4,1,1,0,0.5246924713522022
101,4,ambiguous,0.23598668297417635,1.7718691502114015,0.4131735979953165,101,1,1,0,5,0,0,1,0.2846600081537548
102,0,ambiguous,0.0,0.0,0.0,102,1,3,1,6,1,1,1,0.5
103,0,ambiguous,0.0,0.0,0.0,103,1,3,1,7,1,1,1,0.5
104,3,noisy,0.20073163583408216,1.1777424268256658,0.31850587851664874,104,1,1,0,0,0,0,1,0.26703248458370776
105,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,105,1,2,0,1,1,0,1,0.4532929336795741
106,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,106,0,2,0,2,1,0,0,0.4068508936982919
107,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,107,1,2,0,3,1,0,1,0.5246924713522022
108,0,ambiguous,0.0,0.0,0.0,108,1,3,1,4,1,1,1,0.5
109,7,ambiguous,0.0,0.0,0.0,109,1,3,1,5,1,1,1,0.5
110,0,ambiguous,0.0,0.0,0.0,110,1,3,1,6,1,1,1,0.5
111,0,ambiguous,0.0,0.0,0.0,111,1,3,1,7,1,1,1,0.5
112,7,ambiguous,0.0,0.0,0.0,112,1,3,1,0,1,1,1,0.5
113,7,ambiguous,0.0,0.0,0.0,113,1,3,1,1,1,1,1,0.5
114,0,ambiguous,0.0,0.0,0.0,114,1,3,1,2,1,1,1,0.5
115,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,115,0,2,0,3,0,0,1,0.4532929336795741
116,0,ambiguous,0.0,0.0,0.0,116,1,3,1,4,1,1,1,0.5
117,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,117,1,2,0,5,1,1,0,0.4068508936982919
118,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,118,1,2,0,6,1,0,1,0.4532929336795741
119,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,119,1,2,0,7,1,0,1,0.4532929336795741
120,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,120,0,2,0,0,0,1,0,0.475271132379957
121,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,121,1,2,0,1,1,0,1,0.5246924713522022
122,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,122,1,2,0,2,0,1,1,0.475271132379957
123,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,123,1,2,0,3,1,1,0,0.4068508936982919
124,3,noisy,0.20073163583408216,1.1777424268256658,0.31850587851664874,124,1,1,0,4,1,0,0,0.26703248458370776
125,7,ambiguous,0.0,0.0,0.0,125,1,3,1,5,1,1,1,0.5
126,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,126,0,2,0,6,0,0,1,0.4532929336795741
127,0,ambiguous,0.0,0.0,0.0,127,1,3,1,7,1,1,1,0.5
128,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,128,1,2,0,0,1,1,0,0.475271132379957
129,3,noisy,0.20073163583408216,1.1777424268256658,0.31850587851664874,129,1,1,0,1,1,0,0,0.26703248458370776
130,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,130,1,2,0,2,1,0,1,0.4532929336795741
131,0,ambiguous,0.0,0.0,0.0,131,1,3,1,3,1,1,1,0.5
132,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,132,1,2,0,4,1,1,0,0.5246924713522022
133,7,ambiguous,0.0,0.0,0.0,133,1,3,1,5,1,1,1,0.5
134,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,134,1,2,0,6,0,1,1,0.475271132379957
135,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,135,1,2,0,7,0,1,1,0.4532929336795741
136,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,136,1,2,0,0,1,1,0,0.475271132379957
137,7,ambiguous,0.0,0.0,0.0,137,1,3,1,1,1,1,1,0.5
138,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,138,1,2,0,2,1,0,1,0.4532929336795741
139,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,139,1,2,0,3,1,0,1,0.5246924713522022
140,0,ambiguous,0.0,0.0,0.0,140,1,3,1,4,1,1,1,0.5
141,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,141,1,2,0,5,0,1,1,0.4532929336795741
142,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,142,0,2,0,6,0,0,1,0.4532929336795741
143,3,noisy,0.20073163583408216,1.1777424268256658,0.31850587851664874,143,1,1,0,7,0,0,1,0.26703248458370776
144,7,ambiguous,0.0,0.0,0.0,144,1,3,1,0,1,1,1,0.5
145,7,ambiguous,0.0,0.0,0.0,145,0,3,1,1,0,0,0,0.5
146,0,ambiguous,0.0,0.0,0.0,146,1,3,1,2,1,1,1,0.5
147,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,147,1,2,0,3,1,1,0,0.5246924713522022
148,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,148,1,2,0,4,1,1,0,0.5246924713522022
149,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,149,1,2,0,5,1,0,1,0.4532929336795741
150,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,150,1,2,0,6,0,1,1,0.475271132379957
151,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,151,0,2,0,7,0,0,0,0.4068508936982919
152,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,152,1,2,0,0,1,1,0,0.475271132379957
153,4,ambiguous,0.23598668297417635,1.7718691502114015,0.4131735979953165,153,1,1,0,1,0,1,0,0.2846600081537548
154,0,ambiguous,0.0,0.0,0.0,154,1,3,1,2,1,1,1,0.5
155,3,noisy,0.20073163583408216,1.1777424268256658,0.31850587851664874,155,1,1,0,3,1,0,0,0.26703248458370776
156,0,ambiguous,0.0,0.0,0.0,156,1,3,1,4,1,1,1,0.5
157,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,157,1,2,0,5,0,1,1,0.4532929336795741
158,3,noisy,0.20073163583408216,1.1777424268256658,0.31850587851664874,158,1,1,0,6,1,0,0,0.26703248458370776
159,0,ambiguous,0.0,0.0,0.0,159,1,3,1,7,1,1,1,0.5
160,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,160,1,2,0,0,1,1,0,0.475271132379957
161,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,161,0,2,0,1,0,0,0,0.4068508936982919
162,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,162,1,2,0,2,0,1,1,0.475271132379957
163,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,163,1,2,0,3,1,0,1,0.5246924713522022
164,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,164,0,2,0,4,0,1,0,0.475271132379957
165,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,165,1,2,0,5,0,1,1,0.4532929336795741
166,0,ambiguous,0.0,0.0,0.0,166,1,3,1,6,1,1,1,0.5
167,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,167,1,2,0,7,1,1,0,0.4068508936982919
168,4,ambiguous,0.23598668297417635,1.7718691502114015,0.4131735979953165,168,1,1,0,0,0,1,0,0.2846600081537548
169,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,169,1,2,0,1,1,0,1,0.4532929336795741
170,0,ambiguous,0.0,0.0,0.0,170,1,3,1,2,1,1,1,0.5
171,0,ambiguous,0.0,0.0,0.0,171,1,3,1,3,1,1,1,0.5
172,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,172,1,2,0,4,1,0,1,0.5246924713522022
173,7,ambiguous,0.0,0.0,0.0,173,1,3,1,5,1,1,1,0.5
174,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,174,1,2,0,6,0,1,1,0.475271132379957
175,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,175,1,2,0,7,1,0,1,0.4532929336795741
176,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,176,0,2,0,0,1,0,0,0.4532929336795741
177,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,177,0,2,0,1,0,0,0,0.4068508936982919
178,0,ambiguous,0.0,0.0,0.0,178,1,3,1,2,1,1,1,0.5
179,0,ambiguous,0.0,0.0,0.0,179,1,3,1,3,1,1,1,0.5
180,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,180,1,2,0,4,1,1,0,0.5246924713522022
181,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,181,1,2,0,5,0,1,1,0.4532929336795741
182,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,182,1,2,0,6,1,1,0,0.4068508936982919
183,0,ambiguous,0.0,0.0,0.0,183,1,3,1,7,1,1,1,0.5
184,3,noisy,0.20073163583408216,1.1777424268256658,0.31850587851664874,184,1,1,0,0,0,0,1,0.26703248458370776
185,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,185,1,2,0,1,0,1,1,0.4532929336795741
186,0,ambiguous,0.0,0.0,0.0,186,1,3,1,2,1,1,1,0.5
187,0,ambiguous,0.0,0.0,0.0,187,1,3,1,3,1,1,1,0.5
188,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,188,1,2,0,4,1,1,0,0.5246924713522022
189,7,ambiguous,0.0,0.0,0.0,189,1,3,1,5,1,1,1,0.5
190,0,ambiguous,0.0,0.0,0.0,190,1,3,1,6,1,1,1,0.5
191,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,191,0,2,0,7,1,0,0,0.4532929336795741
192,3,noisy,0.20073163583408216,1.1777424268256658,0.31850587851664874,192,1,1,0,0,1,0,0,0.26703248458370776
193,7,ambiguous,0.0,0.0,0.0,193,1,3,1,1,1,1,1,0.5
194,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,194,1,2,0,2,0,1,1,0.475271132379957
195,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,195,1,2,0,3,1,1,0,0.5246924713522022
196,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,196,1,2,0,4,1,1,0,0.5246924713522022
197,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,197,0,2,0,5,0,0,1,0.4532929336795741
198,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,198,1,2,0,6,0,1,1,0.475271132379957
199,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,199,1,2,0,7,0,1,1,0.475271132379957
