sample_id,state_id,verdict,state_quality,state_noise,state_cercis,question_id,majority_correct,is_correct,model_agreement_count,full_consensus,topic_id,consensus_score
0,2,ambiguous,0.20715420956313058,0.5636173220145477,0.26351594176458537,0,1,0.6666666666666666,2,0,0,0.4369104381148986
1,0,clean,0.24790382233157793,0.7737240204225955,0.32527622437383746,1,1,0.6666666666666666,2,0,1,0.4572852444991223
2,2,ambiguous,0.20715420956313058,0.5636173220145477,0.26351594176458537,2,0,0.3333333333333333,2,0,2,0.4369104381148986
3,1,ambiguous,0.0,0.0,0.0,3,1,1.0,3,1,3,0.5
4,0,clean,0.24790382233157793,0.7737240204225955,0.32527622437383746,4,0,0.3333333333333333,2,0,4,0.4572852444991223
5,7,ambiguous,0.4011504563760512,1.3281943260590157,0.5339698889819527,5,1,0.6666666666666666,2,0,5,0.5339085615213589
6,0,clean,0.24790382233157793,0.7737240204225955,0.32527622437383746,6,1,0.6666666666666666,2,0,6,0.4572852444991223
7,5,ambiguous,0.42121940669699276,1.106885050698281,0.5319079117668208,7,1,0.6666666666666666,2,0,7,0.5439430366818296
8,6,ambiguous,0.21508368601326777,1.2330391015772983,0.3383875961709976,8,1,0.3333333333333333,1,0,0,0.27420850967330057
9,0,clean,0.24790382233157793,0.7737240204225955,0.32527622437383746,9,1,0.6666666666666666,2,0,1,0.4572852444991223
10,5,ambiguous,0.42121940669699276,1.106885050698281,0.5319079117668208,10,1,0.6666666666666666,2,0,2,0.5439430366818296
11,7,ambiguous,0.4011504563760512,1.3281943260590157,0.5339698889819527,11,1,0.6666666666666666,2,0,3,0.5339085615213589
12,2,ambiguous,0.20715420956313058,0.5636173220145477,0.26351594176458537,12,1,0.6666666666666666,2,0,4,0.4369104381148986
13,7,ambiguous,0.4011504563760512,1.3281943260590157,0.5339698889819527,13,1,0.6666666666666666,2,0,5,0.5339085615213589
14,2,ambiguous,0.20715420956313058,0.5636173220145477,0.26351594176458537,14,0,0.0,2,0,6,0.4369104381148986
15,2,ambiguous,0.20715420956313058,0.5636173220145477,0.26351594176458537,15,0,0.0,2,0,7,0.4369104381148986
16,3,ambiguous,0.0,0.0,0.0,16,1,1.0,3,1,0,0.5
17,2,ambiguous,0.20715420956313058,0.5636173220145477,0.26351594176458537,17,0,0.3333333333333333,2,0,1,0.4369104381148986
18,4,noisy,0.15128837183499189,1.0097791170136532,0.2522662835363572,18,1,0.3333333333333333,1,0,2,0.2423108525841626
19,1,ambiguous,0.0,0.0,0.0,19,1,1.0,3,1,3,0.5
20,4,noisy,0.15128837183499189,1.0097791170136532,0.2522662835363572,20,1,0.3333333333333333,1,0,4,0.2423108525841626
21,7,ambiguous,0.4011504563760512,1.3281943260590157,0.5339698889819527,21,1,0.6666666666666666,2,0,5,0.5339085615213589
22,5,ambiguous,0.42121940669699276,1.106885050698281,0.5319079117668208,22,1,0.6666666666666666,2,0,6,0.5439430366818296
23,0,clean,0.24790382233157793,0.7737240204225955,0.32527622437383746,23,1,0.6666666666666666,2,0,7,0.4572852444991223
24,3,ambiguous,0.0,0.0,0.0,24,1,1.0,3,1,0,0.5
25,2,ambiguous,0.20715420956313058,0.5636173220145477,0.26351594176458537,25,0,0.3333333333333333,2,0,1,0.4369104381148986
26,0,clean,0.24790382233157793,0.7737240204225955,0.32527622437383746,26,0,0.3333333333333333,2,0,2,0.4572852444991223
27,7,ambiguous,0.4011504563760512,1.3281943260590157,0.5339698889819527,27,1,0.6666666666666666,2,0,3,0.5339085615213589
28,5,ambiguous,0.42121940669699276,1.106885050698281,0.5319079117668208,28,1,0.6666666666666666,2,0,4,0.5439430366818296
29,6,ambiguous,0.21508368601326777,1.2330391015772983,0.3383875961709976,29,1,0.3333333333333333,1,0,5,0.27420850967330057
30,0,clean,0.24790382233157793,0.7737240204225955,0.32527622437383746,30,1,0.6666666666666666,2,0,6,0.4572852444991223
31,3,ambiguous,0.0,0.0,0.0,31,1,1.0,3,1,7,0.5
32,5,ambiguous,0.42121940669699276,1.106885050698281,0.5319079117668208,32,1,0.6666666666666666,2,0,0,0.5439430366818296
33,3,ambiguous,0.0,0.0,0.0,33,1,1.0,3,1,1,0.5
34,0,clean,0.24790382233157793,0.7737240204225955,0.32527622437383746,34,1,0.6666666666666666,2,0,2,0.4572852444991223
35,7,ambiguous,0.4011504563760512,1.3281943260590157,0.5339698889819527,35,1,0.6666666666666666,2,0,3,0.5339085615213589
36,5,ambiguous,0.42121940669699276,1.106885050698281,0.5319079117668208,36,1,0.6666666666666666,2,0,4,0.5439430366818296
37,1,ambiguous,0.0,0.0,0.0,37,1,1.0,3,1,5,0.5
38,5,ambiguous,0.42121940669699276,1.106885050698281,0.5319079117668208,38,1,0.6666666666666666,2,0,6,0.5439430366818296
39,6,ambiguous,0.21508368601326777,1.2330391015772983,0.3383875961709976,39,1,0.3333333333333333,1,0,7,0.27420850967330057
40,2,ambiguous,0.20715420956313058,0.5636173220145477,0.26351594176458537,40,0,0.3333333333333333,2,0,0,0.4369104381148986
41,2,ambiguous,0.20715420956313058,0.5636173220145477,0.26351594176458537,41,1,0.6666666666666666,2,0,1,0.4369104381148986
42,3,ambiguous,0.0,0.0,0.0,42,1,1.0,3,1,2,0.5
43,4,noisy,0.15128837183499189,1.0097791170136532,0.2522662835363572,43,1,0.3333333333333333,1,0,3,0.2423108525841626
44,5,ambiguous,0.42121940669699276,1.106885050698281,0.5319079117668208,44,1,0.6666666666666666,2,0,4,0.5439430366818296
45,4,noisy,0.15128837183499189,1.0097791170136532,0.2522662835363572,45,1,0.3333333333333333,1,0,5,0.2423108525841626
46,5,ambiguous,0.42121940669699276,1.106885050698281,0.5319079117668208,46,1,0.6666666666666666,2,0,6,0.5439430366818296
47,6,ambiguous,0.21508368601326777,1.2330391015772983,0.3383875961709976,47,1,0.3333333333333333,1,0,7,0.27420850967330057
48,3,ambiguous,0.0,0.0,0.0,48,1,1.0,3,1,0,0.5
49,3,ambiguous,0.0,0.0,0.0,49,1,1.0,3,1,1,0.5
50,3,ambiguous,0.0,0.0,0.0,50,1,1.0,3,1,2,0.5
51,4,noisy,0.15128837183499189,1.0097791170136532,0.2522662835363572,51,1,0.3333333333333333,1,0,3,0.2423108525841626
52,2,ambiguous,0.20715420956313058,0.5636173220145477,0.26351594176458537,52,1,0.6666666666666666,2,0,4,0.4369104381148986
53,7,ambiguous,0.4011504563760512,1.3281943260590157,0.5339698889819527,53,1,0.6666666666666666,2,0,5,0.5339085615213589
54,3,ambiguous,0.0,0.0,0.0,54,1,1.0,3,1,6,0.5
55,3,ambiguous,0.0,0.0,0.0,55,1,1.0,3,1,7,0.5
56,6,ambiguous,0.21508368601326777,1.2330391015772983,0.3383875961709976,56,1,0.3333333333333333,1,0,0,0.27420850967330057
57,4,noisy,0.15128837183499189,1.0097791170136532,0.2522662835363572,57,1,0.3333333333333333,1,0,1,0.2423108525841626
58,5,ambiguous,0.42121940669699276,1.106885050698281,0.5319079117668208,58,1,0.6666666666666666,2,0,2,0.5439430366818296
59,7,ambiguous,0.4011504563760512,1.3281943260590157,0.5339698889819527,59,1,0.6666666666666666,2,0,3,0.5339085615213589
60,2,ambiguous,0.20715420956313058,0.5636173220145477,0.26351594176458537,60,1,0.6666666666666666,2,0,4,0.4369104381148986
61,7,ambiguous,0.4011504563760512,1.3281943260590157,0.5339698889819527,61,1,0.6666666666666666,2,0,5,0.5339085615213589
62,3,ambiguous,0.0,0.0,0.0,62,1,1.0,3,1,6,0.5
63,5,ambiguous,0.42121940669699276,1.106885050698281,0.5319079117668208,63,1,0.6666666666666666,2,0,7,0.5439430366818296
64,0,clean,0.24790382233157793,0.7737240204225955,0.32527622437383746,64,1,0.6666666666666666,2,0,0,0.4572852444991223
65,7,ambiguous,0.4011504563760512,1.3281943260590157,0.5339698889819527,65,0,0.3333333333333333,2,0,1,0.5339085615213589
66,0,clean,0.24790382233157793,0.7737240204225955,0.32527622437383746,66,0,0.3333333333333333,2,0,2,0.4572852444991223
67,1,ambiguous,0.0,0.0,0.0,67,1,1.0,3,1,3,0.5
68,3,ambiguous,0.0,0.0,0.0,68,1,1.0,3,1,4,0.5
69,4,noisy,0.15128837183499189,1.0097791170136532,0.2522662835363572,69,1,0.3333333333333333,1,0,5,0.2423108525841626
70,4,noisy,0.15128837183499189,1.0097791170136532,0.2522662835363572,70,1,0.3333333333333333,1,0,6,0.2423108525841626
71,3,ambiguous,0.0,0.0,0.0,71,1,1.0,3,1,7,0.5
72,2,ambiguous,0.20715420956313058,0.5636173220145477,0.26351594176458537,72,1,0.6666666666666666,2,0,0,0.4369104381148986
73,0,clean,0.24790382233157793,0.7737240204225955,0.32527622437383746,73,1,0.6666666666666666,2,0,1,0.4572852444991223
74,2,ambiguous,0.20715420956313058,0.5636173220145477,0.26351594176458537,74,0,0.3333333333333333,2,0,2,0.4369104381148986
75,6,ambiguous,0.21508368601326777,1.2330391015772983,0.3383875961709976,75,1,0.3333333333333333,1,0,3,0.27420850967330057
76,2,ambiguous,0.20715420956313058,0.5636173220145477,0.26351594176458537,76,1,0.6666666666666666,2,0,4,0.4369104381148986
77,1,ambiguous,0.0,0.0,0.0,77,1,1.0,3,1,5,0.5
78,3,ambiguous,0.0,0.0,0.0,78,1,1.0,3,1,6,0.5
79,3,ambiguous,0.0,0.0,0.0,79,1,1.0,3,1,7,0.5
80,3,ambiguous,0.0,0.0,0.0,80,1,1.0,3,1,0,0.5
81,2,ambiguous,0.20715420956313058,0.5636173220145477,0.26351594176458537,81,1,0.6666666666666666,2,0,1,0.4369104381148986
82,0,clean,0.24790382233157793,0.7737240204225955,0.32527622437383746,82,1,0.6666666666666666,2,0,2,0.4572852444991223
83,6,ambiguous,0.21508368601326777,1.2330391015772983,0.3383875961709976,83,1,0.3333333333333333,1,0,3,0.27420850967330057
84,6,ambiguous,0.21508368601326777,1.2330391015772983,0.3383875961709976,84,1,0.3333333333333333,1,0,4,0.27420850967330057
85,1,ambiguous,0.0,0.0,0.0,85,1,1.0,3,1,5,0.5
86,4,noisy,0.15128837183499189,1.0097791170136532,0.2522662835363572,86,1,0.3333333333333333,1,0,6,0.2423108525841626
87,5,ambiguous,0.42121940669699276,1.106885050698281,0.5319079117668208,87,1,0.6666666666666666,2,0,7,0.5439430366818296
88,0,clean,0.24790382233157793,0.7737240204225955,0.32527622437383746,88,0,0.3333333333333333,2,0,0,0.4572852444991223
89,2,ambiguous,0.20715420956313058,0.5636173220145477,0.26351594176458537,89,1,0.3333333333333333,1,0,1,0.270243771448232
90,2,ambiguous,0.20715420956313058,0.5636173220145477,0.26351594176458537,90,0,0.3333333333333333,2,0,2,0.4369104381148986
91,1,ambiguous,0.0,0.0,0.0,91,1,1.0,3,1,3,0.5
92,2,ambiguous,0.20715420956313058,0.5636173220145477,0.26351594176458537,92,1,0.6666666666666666,2,0,4,0.4369104381148986
93,6,ambiguous,0.21508368601326777,1.2330391015772983,0.3383875961709976,93,1,0.3333333333333333,1,0,5,0.27420850967330057
94,2,ambiguous,0.20715420956313058,0.5636173220145477,0.26351594176458537,94,1,0.6666666666666666,2,0,6,0.4369104381148986
95,3,ambiguous,0.0,0.0,0.0,95,1,1.0,3,1,7,0.5
96,3,ambiguous,0.0,0.0,0.0,96,1,1.0,3,1,0,0.5
97,0,clean,0.24790382233157793,0.7737240204225955,0.32527622437383746,97,1,0.6666666666666666,2,0,1,0.4572852444991223
98,0,clean,0.24790382233157793,0.7737240204225955,0.32527622437383746,98,1,0.6666666666666666,2,0,2,0.4572852444991223
99,0,clean,0.24790382233157793,0.7737240204225955,0.32527622437383746,99,0,0.3333333333333333,2,0,3,0.4572852444991223
